location,estimate_type,year,grilse,adults,totals
Hatchery Spawners Subtotals,Spawner Escapement,1995,13511.0,,431.0
Hatchery Spawners Subtotals,Spawner Escapement,1993,3285.0,3716.0,443.0
Hatchery Spawners Subtotals,Spawner Escapement,1994,7817.0,8260.0,1207.0
Hatchery Spawners Subtotals,Spawner Escapement,1995,45225.0,46432.0,
Hatchery Spawners Subtotals,Spawner Escapement,1993,,,
Hatchery Spawners Subtotals,Spawner Escapement,1994,,,
Hatchery Spawners Subtotals,Spawner Escapement,1995,,,
Hatchery Spawners Subtotals,Spawner Escapement,1993,,,
Hatchery Spawners Subtotals,Spawner Escapement,1994,92.0,2470.0,2562.0
Hatchery Spawners Subtotals,Spawner Escapement,1995,50.0,1202.0,1252.0
Hatchery Spawners Subtotals,Spawner Escapement,1993,,,
Hatchery Spawners Subtotals,Spawner Escapement,1994,,,
Hatchery Spawners Subtotals,Spawner Escapement,1995,,,
Hatchery Spawners Subtotals,Spawner Escapement,1993,,,
Hatchery Spawners Subtotals,Spawner Escapement,1994,,,3825.0
Hatchery Spawners Subtotals,Spawner Escapement,1995,21858.0,25683.0,6245.0
Hatchery Spawners Subtotals,Spawner Escapement,1993,32333.0,38578.0,17324.0
Hatchery Spawners Subtotals,Spawner Escapement,1994,161794.0,179118.0,
Hatchery Spawners Subtotals,Spawner Escapement,1995,5444.0,43501.0,48945.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1996,543.0,13622.0,14165.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1997,452.0,13275.0,13727.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1998,403.0,14923.0,15326.0
Trinity River Hatchery (TRH),Spawner Escapement,1996,249.0,6411.0,6660.0
Trinity River Hatchery (TRH),Spawner Escapement,1997,820.0,5387.0,6207.0
Trinity River Hatchery (TRH),Spawner Escapement,1998,192.0,14296.0,14488.0
Hatchery Spawners Subtotals,Spawner Escapement,1996,,792.0,20033.0
Hatchery Spawners Subtotals,Spawner Escapement,1997,20825.0,1272.0,18662.0
Hatchery Spawners Subtotals,Spawner Escapement,1998,19934.0,595.0,29219.0
Hatchery Spawners Subtotals,Spawner Escapement,1996,29814.0,,
Hatchery Spawners Subtotals,Spawner Escapement,1997,,4478.0,42646.0
Hatchery Spawners Subtotals,Spawner Escapement,1998,47124.0,2845.0,11507.0
Hatchery Spawners Subtotals,Spawner Escapement,1996,14352.0,1974.0,24460.0
Hatchery Spawners Subtotals,Spawner Escapement,1997,26434.0,,274.0
Hatchery Spawners Subtotals,Spawner Escapement,1998,5189.0,5463.0,217.0
Hatchery Spawners Subtotals,Spawner Escapement,1996,5783.0,6000.0,116.0
Hatchery Spawners Subtotals,Spawner Escapement,1997,1337.0,1453.0,
Hatchery Spawners Subtotals,Spawner Escapement,1998,145.0,11952.0,12097.0
Hatchery Spawners Subtotals,Spawner Escapement,1996,277.0,8284.0,8561.0
Hatchery Spawners Subtotals,Spawner Escapement,1997,266.0,3061.0,3327.0
Hatchery Spawners Subtotals,Spawner Escapement,1998,,46.0,1404.0
Hatchery Spawners Subtotals,Spawner Escapement,1996,1450.0,334.0,1667.0
Hatchery Spawners Subtotals,Spawner Escapement,1997,2001.0,76.0,2466.0
Hatchery Spawners Subtotals,Spawner Escapement,1998,2542.0,,377.0
