fiscal_year,month,pond,mortality,type,age,starting_count
2024,Sep,C2,1,pond,1,NA
2024,Sep,C4,1,pond,other,NA
2024,Sep,P20,1,pond,1,423
2024,Sep,C4,75,pond,other,NA
2024,Sep,C4,106,pond,other,NA
2024,Sep,C4,3,pond,other,NA
2024,Sep,C4,8,pond,other,NA
2024,Sep,P14,1,pond,0/1/2,502
2024,Sep,P17,1,pond,2/other,911
2024,Sep,P14,1,pond,0/1/2,502
2024,Sep,P15,2,pond,2/other,504
2024,Sep,P20,2,pond,1,423
2024,Sep,P20,2,pond,1,423
2024,NA,P15,1,pond,2/other,504
2024,NA,P18,1,pond,1,1500
2025,Oct,P11,1,pond,2/other,3000
2025,Oct,P14,1,pond,0,3031
2025,Oct,P15,1,pond,0,2446
2025,Oct,C4,38,pond,0,8926
2025,Oct,C2,1,pond,2/other,1345
2025,Oct,C1,8,pond,other,9510
2025,Oct,C4,43,pond,0,8926
2025,Oct,C1,4,pond,other,9510
2025,Oct,C4,32,pond,0,8926
2025,Oct,C4,2,pond,0,8926
2025,Oct,P20,1,pond,0,957
2025,Oct,C4,1,pond,0,8926
2025,Oct,C2,1,pond,2/other,1345
2025,Oct,C1,2,pond,other,9510
2025,Oct,C4,2,pond,0,8926
2025,Oct,C4,1,pond,0,8926
2025,Oct,C4,1,pond,0,8926
2025,Oct,C1,1,pond,other,9510
2025,Oct,C4,4,pond,0,8926
2025,Oct,P10,2,pond,2/other,3000
2025,Oct,C1,8,pond,other,9510
2025,Oct,C4,5,pond,0,8926
2025,Oct,P18,1,pond,0,957
2025,Oct,C1,8,pond,other,9510
2025,Oct,C4,1,pond,0,8926
2025,Oct,P18,1,pond,0,957
2025,Oct,P20,2,pond,0,957
2025,Oct,P20,1,pond,0,957
2025,Oct,C1,1,pond,other,9510
2025,Oct,C4,9,pond,0,8926
2025,Oct,P12,2,pond,1/other,3027
2025,Oct,C4,7,pond,0,8926
2025,Oct,C4,13,pond,0,8926
2025,Oct,P15,3,pond,0,2446
2025,Oct,C1,3,pond,other,9510
2025,Oct,C4,10,pond,0,8926
2025,Oct,P12,2,pond,1/other,3027
2025,Oct,P13,1,pond,1/other,3012
2025,Oct,P14,1,pond,0,3031
2025,Oct,P12,2,pond,1/other,3027
2025,Oct,P16,2,pond,0/2,878
2025,Oct,C1,1,pond,other,9510
2025,Oct,C4,7,pond,0,8926
2025,Oct,P6,1,pond,1/4,266
2025,Oct,P9,6,pond,1/other,401
2025,Oct,C1,1,pond,other,9510
2025,Oct,P12,1,pond,1/other,3027
2025,Oct,C1,1,pond,other,9510
2025,Oct,C4,3,pond,0,8926
2025,Oct,P15,2,pond,0,2446
2025,Oct,C3,2,pond,1/wild,NA
2025,Oct,C3,1,pond,1/wild,NA
2025,Oct,C4,2,pond,0,8926
2025,Oct,P9,1,pond,1/other,401
2025,Nov,P3,1,pond,4/other,91
2025,Nov,P9,1,pond,1/other,401
2025,Nov,P10,1,pond,2/other,3000
2025,Nov,C1,1,pond,other,9510
2025,Nov,P8,1,pond,1/4,32
2025,Nov,P9,1,pond,1/other,401
2025,Nov,B1,8,pond,wild/other,NA
2025,Nov,P9,1,pond,1/other,401
2025,Nov,P12,3,pond,1/other,3027
2025,Nov,B1,3,pond,wild/other,NA
2025,Nov,P9,1,pond,1/other,401
2025,Nov,P12,2,pond,1/other,3027
2025,Nov,P12,3,pond,1/other,3027
2025,Nov,P12,6,pond,1/other,3027
2025,Nov,C4,1,pond,0,8926
2025,Nov,P12,2,pond,1/other,3027
2025,Nov,C4,1,pond,0,8926
2025,Nov,P13,1,pond,1/other,3012
2025,Nov,C6,1,pond,1/other,NA
2025,Nov,P0,1,pond,2/other,127
2025,Nov,C3,1,pond,1/wild,NA
2025,Nov,C4,10,pond,0,8926
2025,Dec,P7,1,pond,1/4,85
2025,Dec,C4,2,pond,0,8926
2025,Dec,P10,1,pond,2/other,3000
2025,Dec,P1,1,pond,3/other,86
2025,Dec,P2,1,pond,4/other,86
2025,Dec,P8,1,pond,1/4,32
2025,Dec,P10,1,pond,2/other,3000
2025,Dec,P0,1,pond,2/other,127
2025,Dec,P4,1,pond,1/4,91
2025,Dec,P5,1,pond,1/4,262
2025,Dec,P10,1,pond,2/other,3000
2025,Dec,P12,1,pond,1/other,3027
2025,Dec,P2,1,pond,4/other,86
2025,Dec,P3,1,pond,4/other,91
2025,Dec,P0,1,pond,2/other,127
2025,Dec,P10,3,pond,2/other,3000
2025,Dec,C4,3,pond,0,8926
2025,Dec,P10,5,pond,2/other,3000
2025,Dec,P12,2,pond,1/other,3027
2025,Dec,P13,1,pond,1/other,3012
2025,Dec,P0,1,pond,2/other,127
2025,Dec,P10,3,pond,2/other,3000
2025,Dec,C3,1,pond,1/wild,NA
2025,Dec,P0,1,pond,2/other,127
2025,Dec,P9,1,pond,1/other,401
2025,Dec,P0,1,pond,2/other,127
2025,Dec,P10,1,pond,2/other,3000
2025,Dec,P13,1,pond,1/other,3012
2025,Dec,P12,1,pond,1/other,3027
2025,Dec,P10,1,pond,2/other,3000
2025,Dec,B4,1,pond,0/wild/other,NA
2025,Dec,P9,2,pond,1/other,401
2025,Dec,P10,1,pond,2/other,3000
2025,Dec,C3,1,pond,1/wild,NA
2025,Dec,B4,2,pond,0/wild/other,NA
2025,Jan,P1,1,pond,3/other,86
